Nombre Comercial,NombreFiscal,CALLE,NUMERO EXTERIOR,NUMERO INTERIOR,COLONIA,C.P.,ENTIDAD,MUNICIPIO Y/O DELEGACION,NO. DE TELEFONO,NO. DE TELEFONO2,CONTACTO
SEICSA, SERVICIOS ESPECIALIZADOS DE INVESTIGACION Y CUSTODIA S.A DE C.V.,SERVICIOS ESPECIALIZADOS DE INVESTIGACION Y CUSTODIA S.A DE C.V.,PUEBLA,25,,ROMA NORTE,6700,CIUDAD DE MEXICO,CUAUHTEMOC,5555114220,
SIDISAT CONTROL Y MONITOREO S.A DE C.V.,SIDISAT CONTROL Y MONITOREO S.A DE C.V.,BENITO JUAREZ,16,FRACC 5,TEQUEXQUINAHUAC PARTE ALTA,54020,ESTADO DE MEXICO,TLALNEPANTLA,5522895967,,
"SIPED SISTEMA INTEGRAL DE PROTECCION, ESCOLTA Y DEFENSA S.A. DE C.V.","SISTEMA INTEGRAL DE PROTECCION, ESCOLTA Y DEFENSA S.A. DE C.V.",BOULEVAR DIAZ ORDAZ,1096,1-B,GUADALAJARA,22115,BAJA CALIFORNIA,TIJUANA,6643814559,,
SIS PROTECT & JC S.A DE C.V.,SIS PROTECT & JC S.A DE C.V.,NORTE 35,747,3B,COLTONGO,2630,CIUDAD DE MEXICO,AZCAPOTZALCO,,,LIC.CHRYSTIAN
"SIS SISTEMAS INFORMACION SATELITAL, S.A DE C.V.","SISTEMAS INFORMACION SATELITAL, S.A DE C.V.",BERRIOZABAL,80,,SAN JAVIER,54030,ESTADO DE MEXICO,TLALNEPANTLA,5553603380,,
"SISPIMX SERVICIOS INTEGRALES DE SEGURIDAD PRIVADA E INDUSTRIAL SISPIMX, S DE R.L DE C.V","SERVICIOS INTEGRALES DE SEGURIDAD PRIVADA E INDUSTRIAL SISPIMX, S DE R.L DE C.V",PROFESORES,1520,,PRIMERO DE MAYO,23406,BAJA CALIFORNIA SUR,LOS CABOS,6241052683,,
SISSA SERVICIO INTEGRAL DE SEGURIDAD S.A DE C.V.,SERVICIO INTEGRAL DE SEGURIDAD S.A DE C.V.,JUAN ALVAREZ NORTE,209,,ZONA CENTRO,64000,NUEVO LEON,MONTERREY,8180474545,,
"SMART SERVICES VECTRA MEXICO, S.A DE C.V.","SMART SERVICES VECTRA MEXICO, S.A DE C.V.",ITALIA,36,LC B,LOMAS DE CORTES,62240,MORELOS,CUERNAVACA,7773173836,,
SMART TRACKER Y TELEMETRIA S.A. DE C.V.,SMART TRACKER Y TELEMETRIA S.A. DE C.V.,BLVD. ADOLFO LOPEZ MATEOS,152,,SANTA MARIA NONOALCO,1420,CIUDAD DE MEXICO,ALVARO OBREGON,5555260427,,
SOLUCIONES EMPRESARIALES CONVENIENTES S. DE R.L. DE C.V.,SOLUCIONES EMPRESARIALES CONVENIENTES S. DE R.L. DE C.V.,ADRIAN ORTEGA,273,,RANCHO LA MORA,50020,ESTADO DE MEXICO,TOLUCA,5510023734,5634685052,
"SOLUCIONES ESTRATEGICAS RE&MI, S.A.D E C.V.","SOLUCIONES ESTRATEGICAS RE&MI, S.A.D E C.V.",EJE CENTRAL,555,303,NARVARTE PONIENTE,3020,CIUDAD DE MEXICO,BENITO JUAREZ,72589226,,
TRANSPORTES REFRIGERADOS GUZMAN S.A DE C.V.,TRANSPORTES REFRIGERADOS GUZMAN S.A DE C.V.,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,,,
TRANSPORTES Y REFRIGERADOS VENTURA S.A DE C.V.,TRANSPORTES Y REFRIGERADOS VENTURA S.A DE C.V.,CERRADA NIÑO FLAVIO ZAVALA,01:00 a. m.,,SAN JERONIMO TEPETLACALCO,54090,ESTADO DE MEXICO,TLALNEPANTLA,,,
TRITIUM S.A DE C.V.,TRITIUM S.A DE C.V.,JUAN JOSE TORRES LANDA,7,,MALAQUIN LA MESA,37797,GUANAJUATO,ALLENDE,4151520945,,
VIGILANCIA ESPECIALIZADA DE ORIZABA S.A DE C.V.,VIGILANCIA ESPECIALIZADA DE ORIZABA S.A DE C.V.,CARRETERA FEDERAL MEXICO-VERACRUZ KM 321,S/N,3,ESCAMELA,94450,VERACRUZ,IXTACZOQUITLAN,2721392532,,
WEBFLEET SOLUTIONS MEXICO S.A DE C.V.,WEBFLEET SOLUTIONS MEXICO S.A DE C.V.,CALLE RIO LERMA,232,PISO 24,CUAUHTEMOC,6500,CIUDAD DE MEXICO,CUAUHTEMOC,5555260427,,
CSCP,CSCP S.A. DE C.V.,LUIS QUINTANAR,1229,,BELLA VISTA,64410,NUEVO LEON,MONTERREY,8119168646,,
CSCP CDMX FIRMA 1, ALDO FRANCISCO MONTOYA LOPEZ,RIO GUADIANA,31,PH,CUAUHTEMOC,6500,CIUDAD DE MEXICO,CUAUHTEMOC,8183181946,,
CSCP CDMX FIRMA 2, JANETH DELFINA GARCIA PIÑA,RIO GUADIANA,31,PH,CUAUHTEMOC,6500,CIUDAD DE MEXICO,CIUDAD DE MEXICO,8183181946,,
CSCP CDMX FIRMA 3,ROBERTO MELENDEZ CARBAJAL,RIO GUADIANA,31,PH,CUAUHTEMOC,6500,CIUDAD DE MEXICO,CIUDAD DE MEXICO,8183181946,,
ALARSEGM S.C.,,,,,,,,,,,LIC. DANTE GARCIA
C.P.I. SEGURIDAD PRIVADA S. DE R.L. DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
"CENTRAL DE ALARMAS ADLER, S.A. DE C.V.",,,,,,,,,,,LIC. DANTE GARCIA
"CON FIAR INTELIGENCE BUSINESS, S.A DE C.V.",,,,,,,,,,,LIC. DANTE GARCIA
"CONSORCIO DE SERVICIOS TAGMATA, S.A DE C.V.",,,,,,,,,,,LIC. DANTE GARCIA
CONTROL DE ACCESOS S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
CORPORATIVO LR SEGURIDAD PRIVADA S.A. DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
DOBLE SEGURIDAD PRIVADA S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
FIDES SEGURIDAD PRIVADA S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
GRUPO EMPRESARIAL CASA S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
"GRUPO VALESA, ESPECIALISTAS EN SERVICIOS DE SEGURIDAD PRIVADA S.A DE C.V.",,,,,,,,,,,LIC. DANTE GARCIA
KANINO S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
OSAO CORPORATIVO S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
RAD-U SEGURIDAD PRIVADA S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
SEGURIDAD PRIVADA VIREAL S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
SERVICIOS STRATEGOS KOURSORES S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
"SHERIFF PATROL, S.A. DE C.V. ",,,,,,,,,,,LIC. DANTE GARCIA
"SISSA MONITORING INTEGRAL, S.A.P.I. DE C.V.",,,,,,,,,,,LIC. DANTE GARCIA
TECNOLOGIAS DE PROTECCION PATRIMONIAL S.A DE C.V.,,,,,,,,,,,LIC. DANTE GARCIA
